name,calories,proteins,fat,carbohydrate,is_seafood,is_nut,is_lactose
Abon,280,9.2,28.4,0,0,0,0
Alpukat segar,85,0.9,6.5,7.7,0,0,0
Apel,58,0.3,0.4,14.9,0,0,0
Ayam  goreng Kentuckysayap,297,35.9,15.2,1.6,0,0,0
Ayam goreng kentucky dada,298,34.2,16.8,0.1,0,0,0
Ayam goreng Kentucky paha,286,32.1,16.1,1.1,0,0,0
Ayam goreng paha,287,31,15.7,1.7,0,0,0
Bakwan,280,8.2,10.2,39,0,0,0
Belut goreng,417,25.9,19.4,32,0,0,0
Bihun Goreng ,154,3,4.5,25.5,0,0,0
Buncis rebus,30,2.2,0.2,6.4,0,0,0
Cap cai sayur,97,5.8,6.3,4.2,0,0,0
Empal (daging) Goreng masakan,248,36.2,6.9,10.1,0,0,0
Es krim,210,4,12.5,20.6,0,0,1
Getuk singkong,204,0.5,1.4,47.4,0,0,0
Ikan Mas goreng,188,19.3,12.2,0,0,0,0
Ikan Mujair goreng,416,46.9,23.9,0,0,0,0
Ikan sarden segar,109,19.9,1.8,3.4,1,0,0
Jagung Rebus ,175,1.8,1.8,35,0,0,0
Jeruk Manis,45,0.9,0.2,11.2,0,0,0
Keripik tempe,581,12.1,40.6,41.7,0,0,0
Keripik ubi,486,0.2,23.9,67.6,0,0,0
nasi beras merah,149,2.8,0.4,32.5,0,0,0
nasi jagung,357,8.8,3.8,79.5,0,0,0
nasi putih,180,3,0.3,39.8,0,0,0
Pisang Ambon,99,1.2,0.2,25.8,0,0,0
Pisang Goreng ,220,2.3,2.3,6.3,0,0,0
Soto betawi masakan,135,2.5,8.8,11.5,0,0,1
Soto dengan Daging,127.5,2.6,9.4,8.3,0,0,0
Soto jeroan masakan,92,11.8,4.3,1.4,0,0,0
Soto madura masakan,60,3.5,4.5,1.3,0,0,0
Susu bubuk,513,24.6,30,36.2,0,0,1
Susu Kambing,64,4.3,2.3,6.6,0,0,1
Susu Kedelai,41,3.5,2.5,5,0,0,0
Susu Sapi,61,3.2,3.5,4.3,0,0,1
Tahu goreng,115,9.7,8.5,2.5,0,0,0
Tahu telur,328,12.6,19.9,24.6,0,0,0
Takwa,148,13.8,8.5,4,0,0,0
Talas bogor kukus,120,1.5,0.3,28.2,0,0,0
Taoge goreng,88,3.2,2.1,14,0,0,0
Telur Ayam ceplok,383,15.1,32.9,8.3,0,0,0
Telur Ayam dadar,251,16.3,19.4,1.4,0,0,0
Telur Bebek ceplok,320,15.1,30.5,0.9,0,0,0
Telur Bebek telur asin,195,13.6,13.6,1.4,0,0,0
Tempe Goreng ,328,18.4,23.2,12.8,0,0,0
Tomat air (juice) segar,20,1,0.2,3.5,0,0,0
Ubi Cilembu,186,1.9,0.2,44.3,0,0,0
Wortel rebus,28,0.7,0.5,6.3,0,0,0
Yoghurt,52,3.3,2.5,4,0,0,1
