name,calories,proteins,fat,carbohydrate,is_seafood,is_nut,is_lactose
Bakso ,76,4.1,2.5,9.2,0,0,0
Sop buntut masakan,71,7.5,3.6,2.2,0,0,0
Gurame asem manis masakan,192,12.7,10.1,12.7,0,0,0
Beef teriyaki masakan,151,8.6,3.1,22.3,0,0,0
Cumi-cumi goreng,265,40.6,10.1,0,1,0,0
Nasi Goreng ,276,3.2,3.2,30.2,0,0,0
Spaghetti,139,7.4,2.1,22.6,0,0,0
Kangkung tumis,52,1.8,3.6,3,0,0,0
Soto betawi masakan,135,2.5,8.8,11.5,0,0,1
Soto dengan Daging,127.5,2.6,9.4,8.3,0,0,0
Soto jeroan masakan,92,11.8,4.3,1.4,0,0,0
Soto madura masakan,60,3.5,4.5,1.3,0,0,0
nasi beras merah,149,2.8,0.4,32.5,0,0,0
nasi putih,180,3,0.3,39.8,0,0,0
Mie ayam,102,6.2,3.9,10.5,0,0,0
Mie bakso,114,5.3,3,16.4,0,0,0
Ayam  goreng Kentuckysayap,297,35.9,15.2,1.6,0,0,0
Ayam goreng kentucky dada,298,34.2,16.8,0.1,0,0,0
Ayam goreng Kentucky paha,286,32.1,16.1,1.1,0,0,0
Ayam goreng paha,287,31,15.7,1.7,0,0,0
Alpukat segar,85,0.9,6.5,7.7,0,0,0
Apel,58,0.3,0.4,14.9,0,0,0
