name,food_name,Images,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,CarbohydrateContent,ProteinContent,RecipeServings,RecipeInstructions,is_seafood,is_nut,is_lactose
1,Cabbage Soup,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/picVEMxk8.jpg",PT30M,PT20M,PT50M,"""plain tomato juice"", ""cabbage"", ""onion"", ""carrots"", ""celery""",103.6,0.4,25.1,4.3,4,"Mix everything together and bring to a boil."", ""Reduce heat and simmer for 30 minutes (longer if you prefer your veggies to be soft)."", ""Refrigerate until cool."", ""Serve chilled with sour cream.",0,0,0
2,Buttermilk Pie With Gingersnap Crumb Crust,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/pic79tPh5.jpg",PT50M,PT30M,PT1H20M,"""sugar"", ""margarine"", ""egg"", ""flour"", ""salt"", ""buttermilk"", ""graham cracker crumbs"", ""margarine""",228.0,7.1,37.5,4.2,8,"""Preheat oven to 350°F."", ""Make pie crust, using 8 inch pie pan, do not bake."", ""Mix sugar and margarine in medium bowl until blended; beat in egg whites and egg."", ""Stir in flour, salt, and buttermilk until well blended."", ""Pour filling into prepared crust, bake 40 minutes or until sharp knife inserted near center comes out clean."", ""Sprinkle with nutmeg and serve warm or chilled."", ""Combine graham crumbs, gingersnap crumbs, and margarine in 8 or 9 inch pie pan, pat mixture evenly on bottom and side of pan."", 
""Bake 8 to 10 minutes or until edge of crust is lightly browned."", ""Cool on wire rack."")",0,0,1
3,Lou's Fabulous Bruschetta,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/59/pickKDLXe.jpg",PT10M,PT30M,PT40M,"""French baguette"", ""butter"", ""garlic powder"", ""ricotta cheese"", ""parmesan cheese"", ""salt"", ""tomatoes"", ""olive oil"", ""fresh basil leaves""",221.5,6.5,32.5,8.1,8,"Cut baguette into slices."", ""Butter and then sprinkle garlic powder each piece, and bake till lightly golden brown."", ""Mix garlic powder, Parmesan cheese, and salt in the ricotta cheese, till a lovely blended taste."", ""Dice tomatoes in small cubes,   add Olive Oil, and  small strips of fresh basil leaves, cut into thin strips."", ""Spread the ricotta mixture, generously on the cooled garlic bread slices."", ""Top with tomato mixture and bake at 350F for 10 minutes."", ""Enjoy!",0,0,1
4,Brownie Cheesecake Torte,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/74/kZ2yXx22RimC8sHBAlFa_image.jpg",PT55M,PT35M,PT1H30M,"""instant coffee granules"", ""cinnamon"", ""sugar"", ""sugar"", ""all-purpose flour"", ""vanilla extract"", ""fat free cream cheese"", ""skim milk"", ""fresh raspberry""",122.1,4.9,14.4,5.7,12,"""Preheat oven to 425 degrees F."", ""Combine first 4 ingredients in a bowl."", ""Firmly press mixture into bottom and 1 inch up sides of a 9-inch springform pan coated with cooking spray."", ""Set aside. Combine 1/2 cup sugar, flour, vanilla, and cheeses;  beat at medium speed of a mixer until well-blended."", ""Add egg whites and 2 tablespoons milk; beat well."", ""Combine 1/2 cup batter, 1 tablespoon milk, 2 tablespoons sugar, and cocoa in a small bowl; stir well."", ""Spoon remaining batter alternately with cocoa mixture into prepared crust. Swirl together using the tip of a knife.  Bake at 425 degrees for 10 minutes."", 
""Reduce oven temperature to 250 degrees; bake 45 minutes or until almost set. Cool completely on a wire rack."", ""Garnish with chocolate syrup and fresh raspberries, if desired."")",0,0,1
5,Brazilian Empadinhas,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/82/82.jpg",PT2H37M,PT1H,PT3H37M,"""butter"", ""flour"", ""salt"", ""margarine"", ""milk"", ""water"", ""shrimp"", ""onion"", ""tomatoes"", ""parsley"", ""lemon"", ""salt"", ""pepper"", ""Tabasco sauce"", ""garlic"", ""cornstarch"", ""olive oil"", ""cumin"", ""bell peppers""",329.7,16.7,35.6,9.3,8,"""DOUGH Cut butter into salt and flour."", ""Stir in rest of the ingredients and knead to  combine or just process everything until it forms a ball."", ""Let rest covered 1  hour Make balls the size of a walnut, from 2/3  of the dough and line small  muffin tins with the dough."", ""Place 2 tsp. of the cold filling into the lined  tins."", ""Make small balls with the rest of the dough."", ""Flatten them to make lids for the mini pies."", ""Brush tops with egg yolk Bake in preheated 350 F oven for 30 to  35 minutes or until golden brown."", 
""SHRIMP FILLING Clean and devein shrimp, saving heads and shells."", ""Make a broth with the shells  and heads and 2 cups water."", ""Cook 1 hour, uncovered over low heat. Strain broth  and cook it down to 1/2 cup."", ""Cook onions and garlic in olive oil until they  start changing color."", ""Add bell pepper and cook 2 minutes, Add tomatoes, broth  and seasonings and simmer almost to a paste. Add shrimp and cook just until they become opaque. Stir in cornstarch diluted in 2 Tbsp water."", ""Stir until thick."", 
""Add parsley."", ""Let cool before using"", ""NOTES : May use other fillings such as chicken, hearts of palms, cheese Miriam Podcameni Posvolsky Rio de Janeiro"")",1,0,1
6,Braised Brussels Sprouts With Vinegar and Dill,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/pickFstbF.jpg",PT23M,PT25M,PT48M,"""Brussels sprouts"", ""fresh dill"", ""wine vinegar""",40.9,0.6,8.1,2.9,12,"Trim sprouts; halved if desired."", ""In large pot of boiling salted water, cook Brussels sprouts for 8 minutes if whole, 6 minutes if halved, or until barely tender."", ""Drain, refresh under cold running water and drain again."", ""In well-greased 13x9-inch casserole, combine sprouts, dill, vinegar, and salt and pepper to taste; mix well."", ""Bake, covered, in 350°F oven for 10 minutes."", ""Uncover and bake for 5 minutes longer.",0,0,0
7,Blueberry Cookies,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/7/picDf97kf.jpg",PT15M,PT4H,PT4H15M,"""flour"", ""baking powder"", ""salt"", ""vegetable shortening"", ""sugar"", ""egg"", ""milk"", ""lemon zest"", ""blueberries""",58.4,2.4,8.7,0.7,48,"""Combine flour, baking powder and salt."", ""In a large bowl, cream the shortening and  sugar."", ""Beat in the egg."", ""Beat in the milk, almond extract and lemon rind."", ""Gradually blend in the dry ingredients."", ""Fold in the blueberries."", ""Cover and chill for at least 4 hours.Preheat oven to 375°."", ""Drop dough by spoonfuls about  1-inch apart onto ungreased cookie sheets."", ""Bake for 12-15 minutes, until pale golden."", ""Transfer to wire racks to cool."", ""NOTES: Canned or frozen blueberries can be used, but fresh gives the best results.""
)",0,0,1
8,Abby's Pecan Apple Cake,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/8/pic1UgDNm.jpg",PT1H10M,PT20M,PT1H30M,"""butter"", ""sugar"", ""cinnamon"", ""nutmeg"", ""all-purpose flour"", ""tart apples"", ""butter"", ""eggs"", ""milk"", ""rum"", ""vanilla extract"", ""pecans"", ""baking powder"", ""baking soda"", ""salt""",357.2,15.1,51.3,4.0,10,"""* , such as Granny Smith, peeled, halved, and sliced (3 cups)  Preheat the oven to 350 degrees."", ""Brush the sides of a 8 x 3 1/4-inch  springform pan with the melted butter."", ""Mix together 1/2 cup sugar, cinnamon,  nutmeg, and 1/4 cup flour and sprinkle the mixture evenly over the bottom of  the pan."", ""Wrap foil around the pan to prevent leakage. Starting at the outside  edge, arrange a ring of apple slices in the pan, slightly overlapping and  pointing to the center."", ""(It will feel backwards.) Fill in the center with  another circle of apples, with some overlap occurring."", 
""Layer any remaining  apple slices evenly, overlapping to prevent the batter from escaping."", ""With a  wooden spoon or electric mixer, beat together the butter and 1 cup sugar."", ""Add  the eggs, milk, rum, and vanilla."", ""The batter will look curdled."", ""Add 1 1/4  cups flour, the nuts, baking powder, baking soda, and salt, beating only  until the flour is completely incorporated."", ""Pour the batter over the apples  and spread evenly."", ""Place the pan on a baking sheet and bake in the middle of  the oven until a toothpick inserted in the cake comes out clean, about 70  minutes."", 
""Cover with a piece of foil if the top begins to brown too quickly."", ""Let the cake rest in the pan on a rack for 5 minutes, then, using a small,  flexible knife, gently separate the sides of the cake from the pan."", ""Invert  the cake on the rack, letting it stay in the pan for another 10 minutes, then  remove the pan, lifting it up carefully."")",0,1,1
9,Appetizers-Easy Stuffed Mushrooms,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/7/pictKxvMg.jpg",PT7M,PT35M,PT42M,"""fresh mushrooms"", ""butter"", ""celery"", ""onion"", ""Worcestershire sauce"", ""parsley flakes"", ""salt"", ""oregano""",81.8,6.2,5.5,2.0,6,"Wash and dry the mushrooms."", ""Remove and chop the stems."", ""Melt butter in a 12 inch skillet over medium high heat.  Add the mushroom stems, celery and  onion."", ""Saute until the onion is translucent, stirring occasionally."", ""Stir in the bread crumbs, Worcestershire Sauce and seasonings."", ""Mound the stuffing onto the mushroom caps."", ""Arrange caps on a greased baking sheet.  Bake for 5-7  minutes, or until thoroughly heated."", ""If you like mushrooms, you will like this!",0,0,1
10,Cola Fruit and Date Loaf,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/5/picgrPBKe.jpg",PT1H,PT50M,PT1H50M,"""dates"", ""brown sugar"", ""flour"", ""baking soda"", ""baking powder"", ""cinnamon"", ""lemon rind"", ""egg"", ""vanilla extract"", ""pecans""",267.0,6.2,51.4,3.6,12,"Preheat oven to 350 Fahrenheit."", ""Generously grease a 9 by 5 inch loaf pan."", ""Chop dates."", ""Heat cola to boiling.  Remove from heat and stir in dates, mixing very well."", ""Stir in sugar and oil.  Cool while preparing other ingredients."", ""Stir dry ingredients together and add to cola mixture.  Stir in egg, extract and nuts."", ""Spoon batter into pan.  Bake about 1 hour until cake tests done.  Cool on a rack for 20 minutes then remove from pan and wrap."", ""Store overnight before slicing.",0,1,0
